,y,yhat
0,-326.0,303.301
1,-386.99997,255.14789
2,-529.0,248.83444
3,-756.99994,197.59624
4,-519.00006,186.86548
5,-738.00006,256.67853
6,-767.0,95.08392
7,-551.00006,-137.32896
8,-61.00006,55.944023
9,142.00006,484.7132
10,386.0001,892.35596
11,540.00006,1204.9601
12,734.9999,1390.9237
13,758.0,1462.4274
14,902.0,1516.2324
15,666.0,1422.7787
16,610.0,1172.0261
17,557.0,780.27625
18,44.999954,213.46996
19,-509.99994,-130.65219
20,-280.99994,-58.653896
21,-367.99997,-27.614847
22,-212.00003,232.33966
23,-202.00006,378.40564
24,-80.99999,952.29944
25,-167.99994,909.3756
26,-50.00004,857.8679
27,104.999954,819.8166
28,280.0001,786.5282
29,311.00003,887.2138
30,-231.0001,635.55145
31,67.0,393.97516
32,255.00006,517.7792
33,499.99997,952.7626
34,868.00006,1370.7434
35,1198.0,1662.3644
36,1438.0002,1839.1981
37,1705.0001,1893.9386
38,1473.9999,1967.6173
39,1286.0,1798.8502
40,1221.9999,1493.9946
41,1107.9999,1067.8143
42,576.00006,532.63416
43,-75.999916,267.39105
44,-121.99992,404.6188
45,79.99994,562.9728
46,445.9999,787.4255
47,547.00006,898.4091
48,492.99997,1103.5302
49,445.9999,1056.6565
50,435.0001,1091.653
51,344.99997,1021.922
52,364.00006,1037.1796
53,223.00005,1152.0255
54,-54.000065,909.92584
55,-192.99995,552.78015
56,-423.0,654.22473
57,-251.00005,1004.227
58,-160.00008,1294.6528
59,284.99997,1537.065
60,684.0,1648.8883
61,853.0,1733.0366
62,1133.0001,1794.4873
63,978.00006,1656.5133
64,1029.0,1429.6625
65,948.0,1048.668
66,1025.0,639.89795
67,527.99994,470.08142
68,115.999985,718.05255
69,58.999947,852.3081
70,304.9999,1009.34155
71,381.00003,1016.1572
72,287.99994,1232.4545
73,315.99994,1199.0693
74,404.99997,1223.8195
75,391.0,1161.4485
76,404.99997,1163.1193
77,365.99997,1230.3959
78,448.00003,1098.1603
79,567.0,866.1982
80,600.9999,896.8094
81,749.99994,1071.9915
82,664.99994,1262.473
83,938.0,1437.758
84,941.0,1497.0131
85,887.0001,1583.4695
86,1171.0,1666.4285
87,1171.0,1528.0322
88,1002.99994,1274.0255
89,692.99994,743.3623
90,541.0001,435.2995
91,374.00003,305.17035
92,469.0,642.5179
93,61.00006,902.097
94,-5.999941,891.15436
95,-423.0,892.0699
96,-941.0,805.9789
97,-505.00006,822.25244
98,-460.0,959.0125
99,-404.99997,924.4173
100,-452.00003,864.5441
101,-724.0,857.61115
102,-230.00005,911.20087
103,-22.000048,1051.7882
104,231.0001,1283.5634
105,365.00012,1369.3657
106,473.9999,1535.3351
107,875.9999,1688.1869
108,653.00006,1725.5204
109,628.9999,1805.0502
110,765.0,1859.0929
111,476.0,1803.1061
112,501.00003,1587.499
113,516.99994,1195.5095
114,-170.99991,737.36554
115,-705.0,395.54388
116,-756.0,381.83716
117,-1049.0,367.9336
118,-1176.0,336.69058
119,-909.0,504.30597
120,-770.99994,282.528
121,-748.00006,235.16185
122,-597.99994,330.2299
123,-474.99994,136.57396
124,-300.99997,187.12422
125,-29.999903,207.69086
126,85.00002,66.44144
127,-268.0,-188.17905
128,-227.00008,20.31265
129,48.99998,461.07596
130,701.0,824.4591
131,735.99994,1253.6854
132,717.00006,1497.4138
133,485.99997,1517.7015
134,812.00006,1585.9363
135,784.99994,1438.2236
136,661.99994,1227.0719
137,298.99997,772.86237
138,-573.99994,102.08214
139,-1176.0,-337.73746
140,-812.99994,-417.69028
141,-917.0,-217.39954
142,-745.00006,42.334923
143,-590.99994,304.7128
144,-339.00003,208.76949
145,-58.00009,147.58946
146,-174.99992,175.16522
147,-166.00002,42.50775
148,-371.00006,59.222977
149,-411.99997,18.129791
150,-1000.00006,-102.817894
151,-620.0,-370.66333
152,-640.99994,-191.1185
153,-611.00006,283.5265
154,-143.99997,711.69086
155,41.999985,1114.2097
156,136.99997,1387.2006
157,618.00006,1425.1685
158,1339.0,1496.8488
159,1176.0001,1393.8683
160,1079.9999,1053.5432
161,368.0001,548.7281
162,-262.00006,-162.45815
163,-487.00003,-622.8935
164,-407.0,-627.10223
165,-594.0,-424.1463
166,-653.00006,-84.037865
167,-72.99994,158.57024
168,61.99992,436.0551
169,431.9999,428.41797
170,453.99997,450.59976
171,357.00006,355.07217
172,432.99997,343.72946
173,480.99988,301.19452
174,287.99994,165.4353
175,8.999911,-78.16809
176,177.00005,95.74507
177,301.99994,406.23734
178,614.9999,791.94714
179,857.0,1117.2338
180,1232.0001,1372.6884
181,1258.0,1420.1595
182,985.00006,1493.8256
183,633.0001,1436.0826
184,753.0001,1226.855
185,772.0,803.36487
186,667.00006,304.2802
187,421.0001,-52.489662
188,470.00006,-101.94681
189,182.99998,70.97959
190,83.99997,371.14252
191,671.99994,562.8372
192,721.99994,282.64706
193,586.9999,197.8792
194,755.9999,81.299614
195,866.0001,82.93463
196,638.0,0.3684731
