,y,yhat
0,-184.00009,766.76013
1,-364.99988,818.70746
2,-133.99992,858.98865
3,-136.99998,620.0226
4,-98.00003,456.2106
5,121.99996,420.12152
6,38.999958,1.6388415
7,-139.00002,-553.5929
8,37.99994,-627.5122
9,423.99994,-412.7696
10,678.00006,-149.00122
11,849.0001,189.26816
12,939.0,355.2735
13,831.00006,509.9281
14,859.00006,590.26843
15,483.0,466.58722
16,460.0001,143.24063
17,193.0,-324.52466
18,-149.99997,-681.6133
19,-903.0,-955.7824
20,-906.99994,-726.2666
21,-819.0001,-391.1286
22,-564.0,189.70631
23,95.99999,639.26276
24,856.0,602.1782
25,1442.0001,690.7813
26,1350.9998,849.0875
27,1177.0001,709.63513
28,1071.0001,516.6267
29,938.0,456.59158
30,-306.00006,199.30568
31,-1389.0,-343.4244
32,-1460.0,-404.90204
33,-983.00006,-329.6449
34,-284.9999,-296.37885
35,545.9999,-2.6253977
36,982.00006,-20.675514
37,1194.9999,181.90175
38,1039.0001,212.80656
39,946.99994,201.0098
40,461.99988,1.5885484
41,144.99988,-267.42276
42,-898.0,-568.58655
43,-1754.9999,-673.74976
44,-1766.0,-395.8752
45,-1187.0,-122.74115
46,-136.99998,201.50435
47,700.99994,476.78677
48,737.0001,1100.1333
49,749.00006,1229.0869
50,745.0,1276.6459
51,750.9999,1057.3296
52,427.0,952.2492
53,445.00006,899.0102
54,48.999886,621.9398
55,-1407.0,175.90749
56,-1670.0,116.01179
57,-2130.9998,238.20099
58,-1798.0,358.38507
59,-1154.0,590.3238
60,-340.99994,678.3447
61,256.9999,793.32983
62,831.00006,867.3535
63,1011.00006,827.63477
64,593.0,578.16455
65,663.0,281.3539
66,301.99997,-42.509293
67,-924.0,-160.11775
68,-1212.0,20.483486
69,-1215.0,362.84286
70,-653.00006,690.36224
71,504.00015,1006.6624
72,634.0,1007.3813
73,865.99994,1219.8817
74,780.0001,1431.813
75,594.0,1275.2976
76,638.00006,1105.365
77,614.9999,1088.7963
78,491.9999,716.1879
79,448.00012,255.4078
80,-144.99988,78.25036
81,338.00012,168.41916
82,257.99994,174.54424
83,472.00006,420.76544
84,732.0,354.42767
85,911.0,537.70306
86,1117.0,496.26822
87,1117.0,553.7836
88,1097.0001,293.84183
89,1121.9999,88.6374
90,686.99994,-204.0754
91,359.0,-234.21666
92,363.0001,82.61519
93,20.000114,470.12067
94,328.99997,692.7204
95,607.0,923.2476
96,795.99994,1260.2787
97,1117.0,1417.609
98,979.0,1520.2291
99,1134.0,1371.4222
100,1115.0,1260.4946
101,934.99994,1240.8037
102,688.0,1059.0264
103,494.99997,883.6337
104,693.00006,818.97675
105,800.0,817.7151
106,948.99994,826.57605
107,1077.0,1021.1308
108,927.00006,1055.296
109,809.99994,1162.1047
110,892.99994,1187.4628
111,846.00006,1237.5819
112,498.00003,984.09735
113,388.00003,857.52814
114,-467.99997,589.0647
115,-690.0,409.58438
116,-476.00012,516.4053
117,-484.00003,786.54663
118,-298.9999,968.2104
119,265.00006,1248.5477
120,1093.9999,1628.0869
121,1617.0001,1658.758
122,1673.0001,1771.4255
123,1608.9999,1452.5988
124,1820.0,1434.6522
125,1837.0,1564.1472
126,627.0001,531.0705
127,-430.00003,-263.87152
128,-366.00012,-308.63306
129,-300.99997,45.999325
130,416.00003,753.47235
131,420.00012,1121.7494
132,480.99997,1475.6863
133,470.00003,1484.9479
134,1127.0001,1602.0676
135,987.0001,1482.5587
136,718.0,939.89795
137,81.999985,289.2037
138,-1001.0,-409.34332
139,-2076.0,-550.04114
140,-1914.0,-163.61948
141,-1359.0,507.31668
142,-599.9999,1174.8401
143,637.00006,1742.6138
144,1397.9999,1632.3811
145,2338.9998,1665.0731
146,2038.0,1687.4855
147,1796.0,1311.7396
148,1675.0001,1374.4149
149,1004.99994,1461.4996
150,-83.00001,410.97025
151,-985.0,-530.59906
152,-946.0,-564.53564
153,-759.0,-130.1139
154,95.99999,610.7905
155,207.0,988.7223
156,40.999992,1418.844
157,369.99997,1326.918
158,957.0001,1560.4625
159,721.00006,1462.6152
160,397.99997,863.1243
161,-698.0002,226.75525
162,-1677.0,-560.48456
163,-2205.0,-729.3126
164,-2265.0,-373.93423
165,-1829.0,316.8448
166,-950.0,1100.6111
167,-34.00012,1749.3672
168,471.00003,944.94855
169,752.9999,1017.0754
170,803.00006,1048.5563
171,319.00003,750.2516
172,98.00003,711.70935
173,-30.000044,754.48785
174,-201.99991,16.069384
175,-1013.0,-660.47675
176,-1151.0,-673.7396
177,-942.99994,-258.9466
178,-162.99995,357.7663
179,519.99994,690.1839
180,1110.0001,1011.3877
181,1363.0,1069.1957
182,1105.0,1168.5895
183,601.99994,1127.397
184,997.00006,719.64954
185,974.0002,178.55219
186,421.9999,-530.467
187,90.9999,-730.7577
188,-230.99994,-604.481
189,219.99998,-149.09444
190,696.9999,554.79254
191,1367.0,1105.9
192,1309.0,1849.5845
193,1378.0,2010.5669
194,1347.9999,2071.3987
195,1116.0,1748.0988
196,727.99994,1690.025
197,552.0,1803.6161
198,511.0,967.4077
199,-649.0,188.60545
200,-808.0001,104.3085
201,-704.0,448.05447
202,-558.9999,919.8534
203,-83.00001,1311.4385
204,69.0,1552.0479
205,105.99992,1613.3474
206,271.99994,1684.3516
207,352.9999,1561.6046
208,-37.99994,1152.1111
209,-699.99994,499.5685
210,-1126.0,-11.643344
211,-1583.0,-264.69626
212,-1574.0,174.26001
213,-1083.0,827.0752
214,-409.99994,1345.1042
215,769.99994,1911.2687
216,1011.9998,1202.419
217,1039.0001,1367.2047
218,765.9999,1438.7733
219,562.99994,1134.1346
220,379.99988,1059.0818
221,815.0,1139.482
222,-33.0001,393.21933
223,-1269.0,-227.27495
224,-1040.0,-266.74304
225,-566.0,67.50188
226,113.000046,558.0677
227,581.00006,969.3549
228,1115.0,1244.1433
229,1255.0,1273.8706
230,1223.9999,1359.4749
231,1268.0,1262.5999
232,849.0001,884.3135
233,513.00006,307.45245
234,-822.99994,-296.76086
235,-1596.0,-568.5591
236,-1962.0,-336.1713
237,-1717.0,149.0185
238,-1387.0,766.57086
239,-640.9999,1307.3317
240,1174.0,1851.1776
241,1153.9999,2067.8628
242,1294.0,2200.6902
243,1158.0,2030.6404
244,1271.0002,1991.2112
245,1209.0001,1951.7057
246,1187.0,1567.0616
247,994.0,1086.4473
248,1078.0,998.96326
249,974.99994,980.6767
250,967.0,1011.84796
251,918.0001,1305.0543
252,599.0001,1403.747
253,741.99994,1488.3124
254,950.0,1558.0414
255,836.99994,1417.9143
256,428.0,1188.5004
257,375.00006,850.72125
258,698.0002,546.55695
259,391.0001,351.78244
260,576.99994,669.1934
261,712.99994,1215.5037
262,1045.0,1401.1769
263,1298.0,1771.7817
264,1373.0001,1688.1165
265,1621.9999,1749.7559
266,1544.9998,1712.3083
267,1362.0002,1451.2693
268,1093.0001,1340.964
269,763.00006,1403.4259
270,284.9999,858.0082
271,-886.00006,209.2383
272,-554.00006,145.44743
273,793.9999,376.4286
274,1500.0002,751.87976
275,1733.0001,982.1177
276,1440.9999,1219.2208
277,1649.0001,1321.5895
278,1578.0001,1407.0292
279,1664.0001,1260.0765
280,1395.0,946.3268
281,1237.0001,347.06735
282,946.0001,-21.394348
283,71.00004,-292.27768
284,-126.00004,103.48806
285,-124.0,652.39276
286,430.00003,1080.9983
287,1021.0,1534.5703
288,1302.0001,1440.5935
289,1526.9999,1553.0939
290,1593.0001,1548.1403
291,1718.9999,1287.128
292,1500.0002,1172.5321
293,1494.9999,1253.5232
294,392.99988,777.8614
295,-639.00006,297.96866
296,-629.0002,233.66191
297,663.0,474.72934
298,1356.9999,813.4658
299,1423.9998,1013.8947
300,1222.0001,1202.3828
301,1319.0001,1349.7963
302,1505.0,1393.9906
303,1389.9996,1281.8031
304,1436.9998,997.50836
305,1287.9999,508.54276
306,998.0001,95.58672
307,-106.99994,-170.98613
308,-405.0001,68.680466
309,-180.00002,545.8584
310,698.99994,944.0001
311,1412.9999,1341.2606
312,1787.0001,1581.2189
313,1892.0002,1735.4955
314,1906.9998,1726.5917
315,1304.9999,1491.9299
316,1006.0,1393.7208
317,1041.9999,1444.217
318,212.00009,1027.9823
319,-763.9998,576.85443
320,-739.0001,515.4588
321,242.99991,718.3013
322,961.99994,987.8262
323,1643.9998,1213.1166
324,1669.0,1358.4269
325,1604.0001,1494.0275
326,1203.0,1541.0713
327,1095.0001,1445.6995
328,875.9999,1162.4156
329,494.99997,727.03143
330,-227.00012,319.9584
331,-806.9999,85.40264
332,-781.99994,308.72705
333,-547.99994,767.47894
334,88.0001,1128.9744
335,704.0,1509.9099
336,878.99994,1269.2822
337,869.0,1448.6571
338,657.99994,1443.1533
339,722.00006,1225.4658
340,543.0001,1130.8453
341,586.9999,1141.0715
342,-30.000044,758.7633
343,-1095.0,385.14502
344,-1609.0,296.52768
345,-1195.0,466.10916
346,-595.00006,706.0257
347,-383.99997,984.3097
348,-339.9999,1108.3278
349,88.0001,1242.8129
350,310.99988,1268.1523
351,394.9999,1196.528
352,202.99992,910.1463
353,-119.99992,521.73376
354,-707.00006,109.05052
355,-1603.0,-96.27254
356,-1172.0,55.540012
357,-601.0001,464.28616
358,-189.99994,852.27783
359,543.9999,1258.694
360,614.9999,1060.1567
361,584.9999,1230.8716
362,565.0,1225.7615
363,239.00008,958.551
364,24.999952,866.0916
365,92.99993,871.57306
366,-515.00006,423.73907
367,-1760.0,-4.2324886
368,-1857.0,-103.79008
369,-1368.0,131.60643
370,-490.9999,457.19968
371,-143.00009,740.92755
372,106.99994,941.2147
373,439.99997,1031.0055
374,523.0,1135.9355
375,264.00003,1019.8268
376,171.0001,694.4969
377,-241.00012,225.05927
378,-1123.0,-220.87148
379,-2016.0,-506.00677
380,-1946.0,-387.67694
381,-901.00006,44.446335
382,-230.99994,533.65826
383,546.99994,1007.01447
384,616.99994,900.6206
385,728.99994,1061.2118
386,786.0,1055.7649
387,606.0,788.19995
388,473.00006,678.8024
389,540.00006,698.0606
390,187.99991,240.62978
391,144.0001,-180.49304
392,309.0001,-286.91815
393,474.0001,-33.737984
394,566.0,302.22757
395,962.99994,573.0626
396,1330.9999,797.1333
397,1473.0,885.18317
398,1358.9999,1005.66016
399,1042.9999,888.19977
400,678.00006,579.54736
401,321.00006,101.14131
402,3.0000553,-356.55392
403,-898.0,-672.2697
404,-813.0,-573.545
405,-763.00006,-157.60489
406,-570.00006,350.71564
407,-49.999905,838.23157
