,y,yhat
0,-1411.0,-643.55133
1,-1721.0,-675.9519
2,-1694.0,-751.6912
3,-1829.0,-801.48566
4,-1793.0,-694.5887
5,-1721.9999,-491.53967
6,-1458.0,-173.23877
7,-1433.0,-189.1932
8,-1185.9999,-121.56823
9,-942.9999,22.593441
10,-691.0,103.25013
11,-499.99994,179.07362
12,-25.000145,257.70825
13,228.99997,345.13794
14,513.9998,340.37625
15,423.9999,317.30307
16,287.00006,299.1238
17,-15.000156,131.6425
18,-381.0,-107.89066
19,-595.0,-124.51091
20,-177.0,-66.67989
21,-376.0,-228.8047
22,-321.00006,-386.3966
23,-391.0,-579.74176
24,-440.0,-318.85425
25,-558.99994,-379.68732
26,-656.00006,-407.46072
27,-405.00006,-450.06976
28,-354.0,-399.7553
29,-354.0,-212.77928
30,-21.999836,143.55904
31,575.99994,131.37138
32,509.0,175.1954
33,420.99997,324.9873
34,551.99994,452.7877
35,816.0,500.3733
36,794.99994,668.3961
37,701.0,711.16797
38,681.0,725.49225
39,627.0,716.7694
40,695.00006,696.6705
41,661.0,575.8909
42,530.00006,392.9009
43,322.00018,353.04816
44,452.00003,342.7885
45,381.0,262.61954
46,510.99985,59.344883
47,302.99997,-189.84253
48,-81.00001,181.73305
49,-154.99998,293.23254
50,-112.99983,108.1774
51,-287.00006,194.26817
52,-415.99997,260.09204
53,-691.0,489.77518
54,-551.0,684.61926
55,-464.00006,638.98944
56,-270.00003,664.5592
57,214.00017,772.168
58,332.9999,733.56494
59,524.0001,723.94574
60,750.99994,760.1959
61,782.0,654.285
62,819.0,679.1293
63,834.9999,618.6746
64,908.0001,573.01666
65,834.9999,411.4193
66,760.0001,244.0935
67,747.99994,219.42142
68,695.00006,83.77641
69,399.99988,-103.80208
70,443.00015,-333.34012
71,-41.000057,-475.38773
72,-452.00003,-165.89299
73,-403.0,-219.9442
74,-332.0,-250.23767
75,-361.00003,-281.1848
76,-329.00003,-267.5923
77,-257.0001,-93.501816
78,-103.99995,29.728851
79,100.999985,36.31509
80,409.99988,132.43884
81,716.0001,291.42328
82,792.0,387.22592
83,1038.0,464.60703
84,956.0002,516.03613
85,891.9999,554.4868
86,840.00006,543.06946
87,860.00006,458.87335
88,762.0,439.85266
89,568.99994,224.37402
90,143.00015,-47.663013
91,-12.99995,-96.399025
92,71.00002,-86.90725
93,-494.99994,-268.6351
94,-656.00006,-526.0174
95,-989.9999,-764.1585
96,-1346.0001,-827.3127
97,-1475.0,-943.5902
98,-1603.0,-887.6608
99,-1605.0,-997.4941
100,-1648.0,-891.1039
101,-1666.0001,-820.23615
102,-1611.0,-621.2656
103,-1647.0,-497.32593
104,-1215.0,-355.13687
105,-753.0001,-171.07384
106,-467.0,-15.8388405
107,-332.9999,134.50673
108,-524.0,76.45737
109,-577.00006,225.00755
110,-516.99994,243.1198
111,-491.00006,236.1878
112,-537.0001,201.65561
113,-712.00006,13.757404
114,-794.99994,-228.08926
115,-919.00006,-246.03783
116,-912.99994,-155.58614
117,-1114.9999,-355.4696
118,-1242.9999,-586.3638
119,-1342.0,-757.7962
120,-1580.0001,-1007.35364
121,-1654.0,-1079.4854
122,-1553.0,-1122.5404
123,-1527.0,-1236.6052
124,-1498.0,-1187.6649
125,-1376.0,-950.6621
126,-806.99994,-612.8109
127,-537.0001,-608.58624
128,-109.99987,-542.17035
129,72.99988,-436.64615
130,167.99994,-306.08966
131,206.00003,-96.814896
132,216.00003,-8.442383
133,68.00006,170.38304
134,55.999866,131.63521
135,32.999928,134.40259
136,-288.9999,58.515224
137,-314.99997,-146.2431
138,-585.99994,-441.8853
139,-611.00006,-452.89252
140,-398.99994,-280.5249
141,-688.99994,-469.2623
142,-780.0001,-698.6683
143,-1205.9999,-820.006
144,-1512.0,-732.1332
145,-1407.9999,-892.8913
146,-1428.0,-893.42523
147,-1412.0,-1057.1992
148,-1375.0,-1016.67896
149,-1431.0,-833.167
150,-1028.0,-554.33875
151,-715.00006,-517.19226
152,-669.0,-399.0633
153,-416.9999,-347.42383
154,-528.00006,-225.90646
155,-358.00006,-36.937855
156,-300.0,3.6324463
157,-159.00006,172.28397
158,18.999874,141.71123
159,25.9999,114.42379
160,136.00012,-16.043652
161,12.99995,-176.58221
162,-406.9999,-472.8722
163,-494.0,-568.6573
164,-309.00006,-392.51663
165,-607.99994,-515.2561
166,-551.99994,-803.04694
167,-639.99994,-875.4064
168,-661.99994,-329.58878
169,-690.00006,-411.19177
170,-725.99994,-490.77805
171,-728.0,-537.8212
172,-619.00006,-444.11325
173,-578.0,-217.28339
174,-649.99994,160.45526
175,-324.00003,186.76515
176,-392.0001,193.81204
177,-416.9999,282.69138
178,-400.00006,377.73865
179,-501.00003,515.3057
180,-494.0,639.6136
181,-541.0,732.50165
182,-550.00006,749.9731
183,-585.99994,777.5549
184,-591.0001,782.85913
185,-534.9999,711.0198
186,-479.00003,509.8536
187,-540.00006,531.3362
188,-79.00015,612.86523
189,-236.0,483.2674
190,-503.00006,267.64124
191,-578.0,107.55776
192,-564.0001,-260.32825
193,-615.9999,-502.61578
194,-656.99994,-417.10822
195,-656.00006,-665.6803
196,-597.00006,-589.32275
197,-427.00006,-548.5587
198,-28.999863,-368.17502
199,479.00003,-268.68802
200,743.0001,-123.51671
201,666.0002,-120.442116
202,470.00015,-11.814476
203,524.0001,95.245834
204,679.0001,32.020306
205,632.0002,187.47852
206,642.0001,245.80559
207,621.00006,148.96675
208,493.0001,-42.347645
209,375.0001,-150.31155
210,170.99991,-425.71323
211,139.00008,-548.3227
212,177.00017,-363.01794
213,-55.999866,-435.3225
214,-18.999874,-691.7165
215,-393.99997,-789.51483
216,-609.00006,-46.29911
217,-592.00006,-240.99913
218,-679.9999,-234.58577
219,-659.0,-379.43875
220,-622.0,-317.56012
221,-661.0,-226.68492
222,-268.0,12.035603
223,-72.99988,105.618996
224,24.000042,193.22781
225,72.99988,238.99684
226,206.00003,372.78152
227,554.9999,471.41888
228,652.9999,471.3769
229,719.9999,588.4306
230,642.0001,583.1048
231,647.0,534.021
232,494.99994,424.16272
233,426.00012,298.927
234,170.99991,23.826473
235,-99.00013,-75.55377
236,-172.0,45.54235
237,-186.99998,-55.2379
238,-322.0,-345.07892
239,-419.0001,-430.5129
240,-809.0,-513.30273
241,-759.00006,-758.7982
242,-723.99994,-664.23254
243,-696.99994,-829.399
244,-661.0,-739.2726
245,-683.99994,-728.3145
246,-666.0,-511.49332
247,-659.0,-359.5443
248,-405.99997,-157.09879
249,-160.99991,-60.138786
250,365.0001,145.41762
251,624.00006,166.01224
252,594.00006,161.09122
253,537.0001,360.82922
254,664.0,406.91348
255,664.0,401.70605
256,325.9999,268.83054
257,103.99995,134.36961
258,-466.0001,-49.42161
259,-844.9999,-117.83407
260,-1048.0,-22.27338
261,-1336.0001,-76.536514
262,-1352.0,-325.80722
263,-1326.9999,-418.09805
264,-1431.9999,-1012.1306
265,-1512.9999,-1021.86395
266,-1517.0,-1134.1925
267,-1566.0,-1166.4493
268,-1611.0,-1052.4905
269,-1451.0,-790.68884
270,-1015.0,-418.72916
271,-937.0,-411.27283
272,-813.00006,-386.8708
273,-395.00006,-213.68358
274,83.99997,-85.81411
275,236.0,89.46947
276,433.00015,163.65274
277,497.9999,260.78806
278,469.00003,225.98404
279,517.9999,208.76846
280,334.00003,237.95265
281,210.0001,36.743805
282,-7.0000267,-225.32344
283,-129.00009,-205.57445
284,-154.00006,-101.74286
285,-373.99997,-325.2098
286,-637.0,-558.96594
287,-860.99994,-762.9928
288,-965.00006,-333.84033
289,-918.0001,-342.14682
290,-922.99994,-431.9478
291,-1015.99994,-502.6019
292,-954.0,-418.7958
293,-709.0001,-190.56735
294,-520.00006,100.17449
295,-720.99994,61.59364
296,-400.99997,96.92598
297,133.00015,218.71326
298,372.99988,282.5022
299,563.0,433.87216
300,619.99994,480.6517
301,563.0,521.78644
302,490.99988,497.15982
303,510.99985,385.89706
304,506.00003,361.7474
305,398.00003,152.44992
306,29.999966,-160.70537
307,-236.99992,-221.56706
308,-204.0,-125.77675
309,-528.00006,-345.34552
310,-730.99994,-603.3408
311,-1013.99994,-794.5624
312,-949.99994,-409.33978
313,-1048.0,-460.48703
314,-1238.0001,-514.62103
315,-1241.0,-603.10565
316,-1201.0001,-523.93646
317,-961.0,-329.4494
318,-655.0001,-47.63455
319,-486.00006,-72.78049
320,-403.0,-19.12172
321,204.99994,112.451706
322,604.9998,199.14198
323,794.99994,351.35898
324,868.99994,399.5618
325,959.99994,460.8444
326,922.0002,453.94922
327,858.99994,350.46024
328,843.0,339.2078
329,621.00006,122.874504
330,298.9999,-187.96104
331,136.99988,-239.47902
332,118.0,-115.99251
333,-288.9999,-318.82196
334,-388.00003,-555.25745
335,-529.0,-747.9267
336,-435.0,-151.84329
337,-439.0001,-230.0603
338,-582.00006,-218.05283
339,-639.99994,-382.72665
340,-558.0,-262.02542
341,-285.0,-129.1216
342,156.99985,98.71374
343,720.99994,47.285675
344,819.0,111.02254
345,919.99994,189.27391
346,1086.0,232.823
347,1164.9999,360.0513
348,1144.9999,357.06696
349,1127.9999,471.1155
350,1080.0001,471.79346
351,1050.0001,431.73798
352,1010.0002,398.87378
353,881.0001,241.96347
354,810.0001,-29.159893
355,873.0,-45.222984
356,880.0,81.78662
357,686.0002,-83.607704
358,770.9999,-280.86093
359,565.99994,-447.73074
360,567.00006,736.2816
361,459.99982,664.9883
362,368.00006,582.11926
363,236.0,505.22418
364,270.00003,599.2568
365,412.00006,680.81464
366,783.00006,871.27716
367,958.00006,828.8514
368,723.0002,883.14996
369,718.0,939.7261
370,811.99994,905.17444
371,767.99994,983.75104
372,884.00006,922.01996
373,887.00006,961.00385
374,814.0002,935.60345
375,705.00006,911.47876
376,551.99994,876.4835
377,484.99994,743.97766
378,69.999916,476.74017
379,315.00015,447.6011
380,513.00006,473.67877
381,398.00003,301.09036
382,281.99988,46.50774
383,119.99986,-95.76862
384,-560.00006,247.74297
385,-1046.0001,178.61124
