,y,yhat
0,-817.00006,-424.20184
1,-308.99997,-124.42156
2,-198.0,194.56819
3,191.99998,281.29388
4,-93.000046,232.91083
5,-146.0,75.77706
6,320.99988,-374.61557
7,632.9999,-377.69565
8,32.999977,-185.51738
9,42.999966,93.65822
10,280.9999,408.82697
11,94.99996,647.29645
12,65.0,738.4374
13,355.9999,892.19617
14,682.0001,992.1888
15,355.9999,814.8695
16,323.99988,482.6092
17,346.00006,256.75613
18,274.9999,-141.881
19,-326.00006,-363.86334
20,-662.0,-376.13934
21,-464.0,-421.33444
22,-503.0,-258.97827
23,-792.99994,14.736324
24,-797.00006,-768.3499
25,-630.99994,-523.8605
26,-665.0,-290.6776
27,-607.99994,-158.60165
28,-497.99994,-162.0168
29,-425.0,-362.69006
30,-428.00003,-729.3734
31,-486.00003,-711.00916
32,-370.0,-577.1578
33,-243.00002,-386.31546
34,-133.0,-183.5391
35,-281.00006,-16.178156
36,-292.0,110.07512
37,-282.00003,236.35928
38,-288.00003,335.70193
39,-380.0,196.09145
40,-361.99994,-28.186258
41,-592.00006,-208.43031
42,-941.0,-545.8104
43,-1156.9999,-630.3583
44,-1186.0,-606.5033
45,-876.0,-607.55255
46,-1136.0,-482.24567
47,-878.00006,-241.09966
48,-714.0,-597.859
49,-532.0,-280.1002
50,-487.99994,-88.09067
51,-48.000027,73.73213
52,-10.999948,148.68939
53,237.00014,243.76164
54,-153.99994,-45.403065
55,-529.99994,-58.123486
56,-835.99994,167.16371
57,-870.99994,452.88693
58,-520.99994,826.7277
59,-780.99994,1077.201
60,-682.0,1202.7466
61,-224.99995,1324.1191
62,-18.000061,1403.9404
63,-77.00004,1150.6847
64,-155.00003,862.84766
65,-402.00003,438.48206
66,-355.0001,-170.01593
67,-555.99994,-569.8822
68,-961.0,-560.32117
69,-831.0,-603.34424
70,-736.00006,-405.09662
71,-1024.0,-135.53987
72,-745.00006,-504.04456
73,-19.00002,-76.65409
74,320.00006,152.23863
75,837.0,364.05466
76,838.99994,425.40616
77,1196.0001,360.05563
78,1220.0001,66.47514
79,536.0,-1.8605975
80,-149.99997,-131.54689
81,-311.99997,133.02136
82,407.9999,468.5109
83,821.0001,667.4488
84,1208.9999,764.1781
85,815.0001,952.7609
86,1075.0001,1085.9506
87,1100.9999,807.022
88,1383.9998,453.84833
89,1810.0001,-96.96401
90,1432.0,-727.1228
91,877.0,-1075.7388
92,584.99994,-1089.1754
93,225.99991,-990.97577
94,-152.00002,-935.06287
95,-249.00003,-601.21967
96,113.999985,106.0511
97,502.00003,396.03854
98,1062.0,634.2348
99,1638.0,785.377
100,1789.9999,819.8324
101,1748.0,923.1254
102,1898.9999,1065.1749
103,1933.0,1116.1667
104,1556.0,1296.9105
105,1386.0,1466.2745
106,1295.0001,1678.4724
107,1160.0,1735.3748
108,823.00006,1759.9211
109,533.0,1875.4786
110,187.00005,1945.4147
111,-136.00002,1813.8646
112,-141.00008,1666.7552
