,y,yhat
0,-1851.0,-1908.8013
1,-1872.0,-2009.7512
2,-2019.0,-2147.2544
3,-2769.0,-2624.2969
4,-3009.0,-2741.9749
5,-2597.0,-2574.0376
6,-2767.0,-2546.5522
7,-2553.0,-2032.6345
8,-1986.0,-1591.199
9,-1820.0,-1505.2402
10,-986.0,-1542.637
11,-708.0002,-1507.4155
12,-298.00018,-1570.1171
13,-286.00006,-1810.4193
14,-496.00015,-1943.5863
15,-970.00006,-2424.224
16,-1267.0,-2859.7092
17,-2022.9999,-3010.547
18,-2660.0,-2797.0654
19,-2455.0,-2369.2686
20,-2688.0,-2445.7231
21,-2324.0,-2581.054
22,-1646.0,-1793.4509
23,-915.0001,-1371.1123
24,-596.9998,-1549.0796
25,-106.00001,-1632.745
26,-334.99997,-1778.9197
27,-851.99994,-2224.0142
28,-1136.0,-2365.6072
29,-913.9999,-2282.174
30,-1742.0001,-2134.5867
31,-1155.9999,-1694.9312
32,-270.0001,-1419.439
33,164.00009,-1332.896
34,261.99985,-1451.3453
35,718.9998,-1453.1298
36,928.9999,-1538.9911
37,906.0001,-1740.3864
38,638.99994,-1828.3186
39,357.00024,-2204.808
40,-366.9999,-2515.9807
41,-1385.9998,-2472.7896
42,-1400.9999,-2103.5195
43,-1604.0001,-1664.013
44,-1940.0001,-1769.6003
45,-1817.0001,-1927.5392
46,-947.00006,-1289.4967
47,-116.00018,-1024.8777
48,-227.99998,-264.5723
49,-697.0,-336.0809
50,-994.0,-387.89975
51,-1464.0,-727.85803
52,-1615.0,-954.55286
53,-1309.9999,-820.1412
54,-1336.0,-710.69666
55,-741.00006,-366.09528
56,-623.99994,-164.92421
57,-971.0,-40.28106
58,-722.0002,-183.44025
59,-446.99976,-158.16022
60,42.00012,-263.44626
61,-180.00008,-545.9072
62,-245.9999,-762.37506
63,-636.00006,-1330.8966
64,-1172.9999,-1716.5309
65,-1513.0001,-1878.3889
66,-1594.9999,-1411.9756
67,-1693.0,-977.6651
68,-2101.0,-1027.5803
69,-2255.0,-1035.4663
70,-1479.0,-564.22235
71,-783.0002,-163.10315
72,-815.0001,-978.36725
73,-795.99976,-1018.27057
74,-1414.9999,-1246.5522
75,-2080.0,-1677.0115
76,-2639.0,-1936.2257
77,-2515.0,-1802.1085
78,-2296.0,-1748.7341
79,-1970.0001,-1540.7068
80,-1693.0,-1338.5396
81,-1758.0,-1165.9202
82,-2540.0,-1100.3851
83,-2717.0,-1244.0548
84,-2501.0,-1311.6456
85,-2333.0,-1752.5656
86,-2972.0,-1959.1324
87,-3401.0,-2566.0532
88,-3700.0,-3003.16
89,-3760.0,-3216.0005
90,-3522.0,-2681.7178
91,-3548.0,-2226.4912
92,-3300.0,-2144.7275
93,-2323.0,-2068.2786
94,-1450.0,-1511.7898
95,-1139.9999,-1006.62
96,-1107.0,-1169.2208
97,-1482.0001,-1267.9874
98,-1708.0,-1517.8444
99,-1753.0,-1963.5256
100,-2014.0001,-2266.1401
101,-1903.0,-2308.7063
102,-1958.9999,-2169.733
103,-1904.0,-2079.4075
104,-1600.0,-1690.4257
105,-1351.9999,-1478.9321
106,-1197.0,-1497.422
107,-1108.0,-1386.6932
108,-903.99994,-1250.3668
109,-1139.9999,-1385.964
110,-1368.9999,-1791.1758
111,-1867.9999,-2302.1694
112,-2406.0,-2758.4355
113,-2399.0,-2926.0586
114,-2485.0,-2584.1128
115,-2248.9998,-2191.6907
116,-1738.0,-2024.7198
117,-1239.0001,-1930.3748
118,-445.9998,-1398.1183
119,294.9998,-840.10486
120,733.9998,648.5634
121,773.0,588.16925
122,424.00003,309.41702
123,-69.00023,7.2360444
124,-172.99979,-387.98688
125,41.000153,-302.91647
126,-373.0002,-320.52786
127,238.00015,138.57655
128,-743.0,537.5446
129,344.00015,775.6109
130,762.9999,720.4667
131,357.00024,627.35657
132,420.00015,544.9908
133,75.99999,387.22525
134,-208.00015,-161.21034
135,-716.9999,-724.8048
136,-1071.9999,-1232.1019
137,-1464.0,-1666.3512
138,-1020.9998,-1183.7178
139,-1570.0,-577.0989
140,-1823.9999,-439.23325
141,-881.99994,-208.08215
142,305.9999,133.4696
143,1178.0001,750.0228
144,924.00006,1027.7253
145,727.00006,928.62573
146,243.99995,729.941
147,-278.9998,190.77162
148,-298.00018,-299.43375
149,-426.99994,-116.10474
150,-953.0001,-140.91374
151,-1274.0,171.38017
152,-768.0002,623.3716
153,-267.0002,969.161
154,791.9999,1062.1014
155,479.0002,774.3998
156,364.0,670.1024
157,70.0002,311.2473
158,-415.9998,-310.5938
159,-1324.9999,-1102.1975
160,-2071.0,-1745.5525
161,-3118.0,-2424.1887
162,-3588.0,-1923.1508
163,-3755.0,-1270.648
164,-4120.0,-1002.6094
165,-3560.0,-552.76965
166,-2653.0,-164.67613
167,-2747.0,647.1519
168,-2684.0,-1277.333
169,-3109.0,-1678.873
170,-3454.9998,-2018.3331
171,-4347.0,-2440.3303
172,-4840.0,-2578.565
173,-4948.0,-2584.8062
174,-4836.0,-2725.761
175,-4870.0,-2127.002
176,-4984.0,-2045.1318
177,-4549.0,-1635.6582
178,-4607.0,-1221.1902
179,-4555.0,-870.7543
180,-3775.0,-769.61523
181,-3631.0,-1068.335
182,-4226.0,-1562.3186
183,-5117.0,-2270.648
184,-4977.0,-2451.4077
185,-4344.0,-2862.6365
186,-4074.0,-2838.8796
187,-3259.0,-2173.5852
188,-3333.0,-2101.4976
189,-2619.0,-1896.7952
190,-1632.0,-1114.8184
191,-1112.9998,-365.12247
192,-1723.0,-93.17779
193,-2597.0,-112.657394
194,-3161.0,-851.89154
195,-3514.0,-1223.0786
196,-4118.0,-1528.974
197,-3936.0,-1432.4575
198,-3972.0,-1763.001
199,-3950.0,-1573.4651
200,-3515.0,-1211.8043
201,-2503.0,-1242.9319
202,-2372.0,-713.409
203,-2414.0,-765.1228
204,-2379.0,-691.21704
205,-2928.0,-1763.741
206,-3497.0,-1873.3114
207,-4030.0,-2736.9695
208,-4355.0,-3435.257
209,-4669.0,-3427.6453
210,-4440.0,-3533.1875
211,-4339.0,-2108.7725
212,-4100.0,-1901.8983
213,-3737.0,-1690.5685
214,-3095.0,-764.92957
215,-1847.0001,-116.007866
216,-1910.0,-500.18094
217,-2158.0002,-789.8472
218,-2610.0,-1368.839
219,-3319.0,-1617.0981
220,-3384.0,-1853.0404
221,-2429.0,-1979.8665
222,-2736.0,-2134.5361
223,-3068.0,-1763.7444
224,-1855.9999,-1513.998
225,-924.00006,-1116.1458
226,-821.9999,-595.4909
227,-452.0001,-139.01068
228,-252.0002,35.363747
229,-524.00024,-297.65164
230,-717.9998,-932.2399
231,-1007.00006,-1878.0514
232,-1484.0001,-2298.9766
233,-2228.0,-2783.8054
234,-2885.0,-3010.2505
235,-3229.0,-2059.4966
236,-3446.0,-1767.7096
237,-2866.0,-1441.428
238,-2717.0,-674.43134
239,-2092.0,267.57477
240,410.99994,716.1224
241,243.99995,587.46454
242,-179.0001,174.78189
243,-835.0,-162.84637
244,-1223.0,-506.60974
245,-1372.0,-683.2624
246,-1321.0,-395.92203
247,-1335.0,-373.05045
248,-696.00006,-113.298065
249,-600.00024,75.2276
250,-971.99994,190.59018
251,-801.0001,330.94934
252,-441.99994,391.99188
253,252.0002,220.59737
254,-41.000153,-557.2482
255,-592.0,-1139.6996
256,-1203.9998,-1754.054
257,-1930.9999,-2076.9353
258,-1749.9999,-1781.3673
259,-1832.0001,-884.87885
260,-1865.0,-558.21844
261,-1459.9999,-205.69781
262,-1277.9999,115.08632
263,-433.00024,738.032
264,-461.99976,-696.20917
265,-925.0,-759.3972
266,-1458.9999,-987.3167
267,-2147.0,-1354.2388
268,-2560.0002,-1909.8762
269,-2583.0,-1551.2971
270,-3340.0,-1627.8184
271,-3224.0,-1501.8534
272,-2352.0,-1076.6454
273,-1646.0,-695.1154
274,-2035.9999,-727.5418
275,-2294.0,-902.4057
276,-2301.0,-1073.7646
277,-2688.0,-1309.0521
278,-3120.0,-1616.8623
279,-3413.0,-2328.9119
280,-3768.0,-2830.9016
281,-4204.0,-3360.5718
282,-4000.0,-2825.083
283,-4105.0,-2455.7168
284,-4235.0,-2374.0808
285,-4048.0,-2081.0403
286,-2980.0,-1629.3191
287,-2220.0,-1020.83325
288,-2826.0,-2028.8838
289,-3570.0,-2117.6465
290,-3700.0,-2467.646
291,-3983.0,-2640.2234
292,-4385.0,-3218.811
293,-4299.0,-2808.8164
294,-4476.0,-2879.3362
295,-3937.0,-2810.4023
296,-3416.0,-2440.0862
297,-3097.0,-2244.6821
298,-3302.0,-2083.803
299,-3481.0,-2139.3953
300,-3318.0,-2195.0415
301,-3548.0,-2683.7415
302,-3651.0,-2794.9424
303,-4099.0,-3504.3572
304,-4396.0,-3776.107
305,-4440.0,-4041.5974
306,-4286.0,-3967.2532
307,-4243.0,-3613.0525
308,-4335.0,-3507.3184
309,-4226.0,-3133.5056
310,-3281.0,-2660.1396
311,-2617.0,-1975.678
312,-2427.0,-2375.4216
313,-2732.0,-2579.323
314,-3164.0,-2825.9456
315,-3708.0,-2993.0132
316,-3941.0,-3352.835
317,-3813.0,-3170.4917
318,-3583.9998,-3193.9062
319,-3415.0,-3136.7798
320,-2496.0,-2829.115
321,-2236.0,-2653.14
322,-2594.0,-2458.1633
323,-2550.0,-2442.2646
324,-2320.0,-2318.611
325,-2732.0,-2711.512
326,-3054.0,-2853.3638
327,-3502.0,-3353.9746
328,-3973.0,-3607.7642
329,-4130.0,-3752.4834
330,-3947.9998,-3586.337
331,-3784.0,-3327.3877
332,-3813.0,-3288.762
333,-3763.0,-3076.9658
334,-2991.0,-2543.5354
335,-2466.0,-2002.3562
336,-2709.0,-2229.978
337,-2923.9998,-2396.957
338,-3242.0,-2631.4612
339,-3614.0,-2964.661
340,-3806.0,-3181.8804
341,-3769.0,-3097.6663
342,-3595.0,-3080.169
343,-3420.0,-2777.517
344,-2832.0,-2450.2441
345,-2920.0,-2259.1611
346,-3241.0,-2179.9814
347,-3525.0,-2121.9883
348,-3568.0,-2040.7662
349,-3940.0,-2268.0918
350,-4085.0,-2488.6013
351,-4183.0,-2961.7666
352,-4313.0,-3289.2087
353,-4147.0,-3452.7537
354,-3962.0,-3226.7253
355,-4064.0,-2909.0554
356,-3889.0,-2887.256
357,-3438.0,-2879.7837
358,-2774.0,-2223.016
359,-2110.0,-1659.0352
360,-2727.0002,-2312.6296
361,-3103.0,-2562.0972
362,-3603.0,-2740.1462
363,-4285.0,-2950.2551
364,-4402.0,-3302.4702
365,-4088.0,-3118.9736
366,-4237.0,-3097.1653
367,-4041.0,-2923.9448
368,-3191.0,-2703.9048
369,-2573.0,-2489.6108
370,-2277.0,-2321.3613
371,-2155.0,-2222.1611
372,-1567.9998,-2164.674
373,-1495.0,-2490.021
374,-1566.9999,-2721.6382
375,-2076.0,-3322.6184
376,-2619.0,-3508.113
377,-3582.0,-3733.8992
378,-3830.0,-3516.0645
379,-3923.0,-3239.3833
380,-3880.0002,-3215.8896
381,-3446.0,-3011.6924
382,-2543.0,-2485.4219
383,-1534.9999,-1854.0691
384,-1609.0,-2004.7637
385,-1699.0,-2181.5007
386,-2191.0,-2336.5413
387,-2595.0,-2663.5378
388,-2722.0,-3052.6929
389,-2495.0,-2757.8347
390,-2465.0,-2759.9814
391,-2234.0002,-2528.0964
392,-1489.9999,-2262.9338
393,-907.0001,-2044.1588
394,-653.0,-1853.7969
395,-15.000006,-1749.5272
396,723.0002,-1798.2068
397,467.00012,-2138.371
398,-540.0002,-2402.3037
399,-1183.0,-3192.5508
400,-1803.0001,-3428.2688
401,-2420.0,-3861.3984
402,-3052.0,-3571.927
403,-3372.0,-3297.0117
404,-3581.0,-3254.953
405,-3218.0,-2990.678
406,-2342.0,-2448.1555
407,-1543.0001,-1662.8751
408,-1534.9999,-1994.258
409,-1831.0001,-2197.0354
410,-2454.0,-2327.3826
411,-3194.0,-2714.7146
412,-3407.0,-2937.0278
413,-3173.0,-2812.4565
414,-3465.0,-2863.486
415,-3165.0,-2781.9788
416,-2739.0,-2538.6646
417,-2170.0,-2256.3296
418,-1800.0001,-1947.2528
419,-1509.0,-1825.5009
420,-579.9999,-1560.1564
421,-647.0002,-1885.5544
422,-1123.0,-2093.6958
423,-1950.0,-2683.354
424,-2736.0,-3100.2915
425,-2950.0,-3545.955
426,-2703.0,-3301.6685
427,-2778.0,-3083.3955
428,-2941.0,-3064.228
429,-2751.0,-2802.8235
430,-2137.0,-2289.3389
431,-1260.9999,-1601.6301
432,-1420.0,-2059.4238
433,-2314.0,-2089.8591
434,-3172.0,-2445.8733
