,y,yhat
0,2373.0,1294.0588
1,2926.0,1221.1316
2,3257.0,1217.0023
3,3153.0,1093.8098
4,3072.0002,1059.4177
5,3935.9998,1068.6915
6,4018.9998,914.6365
7,4113.0,1130.971
8,4676.9995,1244.6914
9,4690.0,1333.1226
10,5074.0,1205.6732
11,4984.0,1100.6763
12,4259.0,967.65533
13,4109.0,985.71014
14,4035.0,824.0139
15,4005.0002,804.93945
16,3966.0005,846.3547
17,4053.0,1285.23
18,3924.0002,1422.5135
19,3943.0,1478.5321
20,3651.0,1464.8721
21,3586.9995,1433.3077
22,3535.9995,1415.1367
23,3765.0,1460.8231
24,3665.0,1881.4094
25,3251.0,1853.5808
26,2932.0,1768.8688
27,2703.0002,1661.1034
28,2703.0002,1639.3955
29,2952.9998,1657.8007
30,894.0001,1423.707
31,996.9998,1633.9001
32,2109.0,1735.6621
33,2411.9998,1828.2994
34,2221.9998,1810.6611
35,2748.9998,1717.9867
36,2720.0,1658.4706
37,2677.0,1663.8474
38,2410.0005,1533.6711
39,2437.0002,1474.4443
40,2189.0,1504.5072
41,1033.0,1799.1111
42,761.9999,1907.1333
43,978.0,1892.4241
44,933.00006,1883.892
45,1137.9998,1883.4066
46,1741.9999,1828.4521
47,1727.9999,1857.6116
48,2495.0,1373.5751
49,1564.0,1362.925
50,1378.0001,1324.1256
51,1186.9998,1265.9333
52,972.9997,1246.4049
53,688.99976,1252.479
54,111.00008,1206.8849
55,786.99976,1367.0675
56,1351.0002,1372.9081
57,1723.9998,1392.465
58,1623.9998,1317.6738
59,1770.9998,1225.9086
60,1772.9999,1128.1559
61,1609.0,1173.5785
62,1625.9998,1039.6649
63,1817.9998,1018.1392
64,2108.0002,1073.4031
65,1964.0001,1449.8751
66,1161.0002,1511.474
67,694.9998,1566.4005
68,518.9999,1551.3568
69,333.99997,1483.6013
70,567.9999,1400.4292
71,916.00024,1388.3271
72,2471.0,921.986
73,2810.0,821.5639
74,2636.0,808.1067
75,2115.9998,743.37604
76,1521.9998,659.5111
77,1484.9999,667.5271
78,1245.0001,607.23114
79,1296.9999,826.71515
80,829.0,909.97
81,882.99976,1015.5639
82,630.00024,888.4318
83,-107.00005,839.45917
84,-162.00009,610.36926
85,-266.00012,582.6129
86,-1027.0,440.36087
87,-1243.9999,441.4603
88,-1331.9998,432.48843
89,-683.0,886.7104
90,-215.00012,1110.346
91,-633.0,1217.7593
92,-256.00006,1148.4904
93,498.9998,1051.4656
94,859.0002,1039.4672
95,1545.9999,1070.7913
96,3253.0,1619.4022
97,3332.9998,1584.118
98,2969.0,1541.4747
99,2569.0,1516.5876
100,2330.0,1526.5688
101,1803.0,1554.049
102,1892.0002,1520.055
103,1991.9996,1626.6111
104,1908.0004,1535.7931
105,2346.0,1579.0734
106,2172.0002,1584.6763
107,2254.0,1554.6368
108,2381.0,1426.1764
109,2241.0002,1411.3936
110,2199.0,1377.697
111,1950.0,1371.681
112,1780.9999,1344.6487
113,1912.0004,1545.2412
114,2245.0002,1709.5116
115,2136.0,1880.9395
116,2484.0002,1820.5342
117,2850.9998,1823.126
118,3490.0,1750.0814
119,3038.9998,1805.9622
120,2393.0,2537.7056
121,2386.0002,2479.4385
122,2402.0002,2281.2283
123,2354.9998,2228.0837
124,2366.0002,2040.2346
125,2127.0002,1725.3351
126,97.0,1175.2651
127,326.9999,1487.5741
128,496.99976,2147.5151
129,1799.0,2497.0154
130,1839.9999,2404.459
131,1950.0,2049.9897
132,1939.9999,2023.6096
133,1874.9999,1757.7084
134,1623.9998,1672.5686
135,1760.0,1709.7355
136,1721.0001,1725.7498
137,1839.9999,1789.8903
138,1747.0002,1617.5759
139,1484.9999,1709.0222
140,1288.9999,1989.9626
141,1672.9998,2179.5007
142,1933.9999,2050.3208
143,2199.0,2073.708
144,2156.9998,1754.2854
145,1560.9998,1833.497
146,1030.0004,1699.4078
147,871.99994,1584.5801
148,906.0002,1162.479
149,345.00003,724.46106
150,-202.00005,246.8297
151,577.99994,737.56116
152,1592.9999,1651.9543
153,2244.0,2308.0215
154,2307.0,2025.7777
155,1939.9999,1719.4279
156,1754.0,1677.6857
157,1705.9998,1188.011
158,1533.0001,959.154
159,863.99994,1022.2572
160,435.9997,894.4382
161,677.00024,1011.37646
162,631.9997,917.99567
163,189.99997,1062.4694
164,-675.99994,1360.9097
165,252.00005,1519.0638
166,728.00024,1527.2439
167,-294.0,1646.9443
168,814.0002,1084.973
169,790.00006,1302.2047
170,857.9999,1247.5835
171,318.99988,1144.4368
172,-233.99994,398.90805
173,-314.99985,-36.007614
174,-493.00003,-266.74948
175,588.0,181.28104
176,1239.9999,1188.0189
177,1900.0002,2171.1663
178,1927.0001,1920.7808
179,2117.0,1475.9882
180,2454.0,1635.1586
181,2607.9998,929.98834
182,2309.9998,707.84406
183,2179.0,684.5924
184,1974.0001,601.304
185,2139.0002,594.7389
186,1633.9999,712.8438
187,1766.0001,1012.39215
188,1921.0001,1379.6509
189,2991.9998,1599.8744
190,2832.0,1678.2798
191,3067.0,1927.7429
192,2489.0,1507.3867
193,2253.0002,1454.9274
194,1633.0001,1500.9156
195,1572.0001,1339.6091
196,1088.9998,948.99384
197,967.99994,598.5748
198,62.000076,229.5519
199,-47.999996,651.10034
200,63.000084,1374.4866
201,788.00006,1948.4027
202,806.0001,1603.3213
203,353.00006,1362.2654
204,224.9999,1235.2006
205,65.00009,870.99054
206,-688.00006,682.95416
207,-1176.0,707.3576
208,-838.00006,567.90533
209,-552.00006,684.14355
210,-663.0002,632.3386
211,-696.00006,957.9674
212,-404.0001,1254.3241
213,-61.000072,1380.6735
214,328.99994,1486.2086
215,1194.0001,1674.5406
216,1116.0002,996.98615
217,553.9998,1259.5339
218,361.00012,1294.3665
219,66.0001,1173.0607
220,28.999884,508.55438
221,494.99976,203.51016
222,-138.99995,106.290565
223,659.9999,408.66544
224,1991.9996,1081.3193
225,2634.9998,2072.8574
226,2185.0,1760.3685
227,2156.0,1578.1465
228,2006.0004,1570.8346
229,1915.0001,970.9182
230,1623.9998,746.7848
231,2050.9998,683.06866
232,1752.0,539.2011
233,1439.9999,558.856
234,945.9998,724.1848
235,733.99976,1125.6893
236,616.9999,1403.8522
237,775.00024,1647.7618
238,839.00006,1790.7465
239,706.0001,2050.0798
240,3256.0002,1984.4929
241,3310.0,2430.5132
242,3408.0,2270.1301
243,3336.9998,2152.6016
244,3167.9998,2043.6104
245,3389.9998,1998.2264
246,3469.0,2067.5205
247,2622.0,2093.2837
248,2778.0002,2090.8406
249,2540.0,2392.698
250,2309.0,2315.0754
251,2430.9998,2491.479
252,2477.9998,2495.0935
253,2657.9995,2306.239
254,2411.9998,2228.6562
255,2442.9998,2149.5085
256,2335.0002,1968.0502
257,2826.9998,1933.3727
258,2802.0005,1873.9204
259,3550.0002,2110.7307
260,3604.0,2225.4143
261,3891.0002,2390.2532
262,3542.0002,2356.9001
263,3535.9995,2511.4946
264,2249.0002,2164.8477
265,2371.0,1979.4111
266,2538.0,1981.9022
267,2327.0002,1959.4327
268,2526.0,1956.8876
269,2217.9998,1914.042
270,918.00024,1538.0112
271,863.99994,1713.6688
272,651.9998,1794.8843
273,1207.9996,1840.7285
274,1351.9999,1779.202
275,1186.9998,1635.535
276,892.9998,1432.2368
277,975.0003,1493.1731
278,759.0002,1377.3905
279,704.9998,1283.9728
280,614.0002,1397.6196
281,143.99998,1769.6372
282,-730.0,1820.9602
283,-1117.0,1881.5741
284,-1149.0001,1874.3374
285,-815.99994,2000.8889
286,-257.0001,1813.6227
287,861.9999,1882.4263
288,935.00006,643.8203
289,92.99998,408.8688
290,-307.0001,514.53735
291,-456.0001,383.73737
292,-885.00006,287.21985
293,-1341.9999,187.43373
294,-2590.0,-5.9994655
295,-2322.0,233.94041
296,-1906.0,406.28833
297,-1490.9999,610.3903
298,-1450.9999,523.08136
299,-1790.9999,444.36545
300,-1582.0001,197.48164
301,-1418.0,209.88815
302,-1366.0,72.42025
303,-1756.0,59.611855
304,-1699.0,64.88417
305,-1253.9999,521.1492
306,-1555.0,675.8541
307,-1866.9998,772.09735
308,-2109.0,697.56885
309,-1935.9999,636.9453
