,y,yhat
0,-1737.0002,714.7085
1,-1514.9999,803.2285
2,-1090.9998,346.94983
3,-1910.9996,119.65851
4,-2227.9998,-674.76654
5,-870.99994,-563.22284
6,-213.00035,-1860.1748
7,523.0003,-2441.6711
8,2272.0005,-817.51776
9,3541.0,1363.7435
10,5896.9995,2631.4045
11,6548.0,3497.3853
12,7318.0,4860.28
13,7608.9995,4636.1494
14,8309.0,5501.488
15,6632.0,4053.669
16,5959.999,2652.879
17,4462.999,993.47437
18,2146.9998,-796.9948
19,70.00041,-2212.7192
20,63.000103,-1233.1428
21,338.99966,-286.2274
22,1371.9999,1742.7479
23,2665.9998,3495.2075
24,3674.999,2432.5225
25,4224.001,2316.396
26,3338.0,2118.1274
27,3010.0,1881.1333
28,2941.0007,1305.5076
29,3645.0007,1419.9929
30,-546.0,539.3538
31,315.99994,-333.9619
32,2423.9995,231.45538
33,3696.0,1537.7296
34,4945.0005,2464.33
35,7510.0005,2781.0454
36,8315.0,3517.347
37,8616.001,3021.7734
38,7635.0005,3294.3533
39,6868.9995,2587.4702
40,5516.0,1603.1251
41,2656.0002,474.2513
42,505.00024,-123.356064
43,-1489.0001,-931.66486
44,-1675.0004,539.4388
45,-222.99979,1177.3182
46,2670.0,2687.2883
47,4336.0005,3487.439
48,4662.0,4798.628
49,3109.9995,4572.499
50,2691.0,4521.4023
51,1990.0,4230.3213
52,1152.0001,3599.5093
53,904.0,4379.3833
54,-633.9996,3717.9143
55,-1188.9996,3087.3894
56,-704.0,4057.0857
57,-276.99988,5342.8037
58,696.9997,6371.8413
59,2289.0002,7086.8555
60,4485.0005,8081.3716
61,5430.001,7294.6216
62,6381.0,7225.146
63,6345.0,6204.8716
64,5733.999,4328.4673
65,4759.0,2534.5776
66,3292.0005,1436.4164
67,651.0002,485.40683
68,-985.0002,1659.0718
69,-1842.9998,2404.0044
70,210.00035,3990.6821
71,1770.0002,5081.494
72,3210.9995,2980.0283
73,4361.001,2378.9985
74,3837.001,2419.0115
75,2802.0002,1663.3208
76,1701.0001,626.1371
77,2288.0,1046.2236
78,2713.9998,532.96783
79,2851.0005,-761.46484
80,1707.9996,19.610243
81,2457.0005,668.70636
82,2032.0001,847.77625
83,2513.9998,909.41223
84,3346.0005,1103.5079
85,3168.9993,801.0739
86,2464.0,785.23737
87,1886.9996,-240.45274
88,1402.0,-740.1638
89,1772.0,-1831.946
90,1093.0004,-1732.4812
91,-908.0003,-2080.952
92,-302.9996,-1112.191
93,-625.0004,-371.90234
94,154.99995,518.0094
95,284.99957,1193.67
96,1441.0,2950.476
97,1982.9998,2583.8877
98,1388.0002,2730.596
99,1659.0001,2420.234
100,1099.9998,1287.8042
101,150.00024,1691.3574
102,861.99994,1654.5413
103,1065.0,1572.5647
104,2573.9998,2547.546
105,4497.0005,3692.6821
106,5195.0005,4684.3604
107,5912.0005,5365.8174
108,5101.9995,6635.022
109,4066.0,6138.8345
110,3635.9998,6175.6787
111,2164.0002,5125.925
112,1053.0,3902.5603
113,1186.9999,2521.4922
114,33.000053,1341.597
115,-828.9999,315.78748
116,45.000076,760.6965
117,282.99988,1231.1484
118,1003.0002,2345.5427
119,2146.9998,3344.232
120,2863.0007,4070.6118
121,3351.0002,4602.72
122,3282.9995,3848.7957
123,2841.9998,2789.0884
124,3335.9993,2256.935
125,3709.0002,2241.6064
126,1024.9996,140.53018
