,y,yhat
0,336.99997,750.62714
1,139.0,720.76556
2,171.99997,675.48755
3,151.00003,656.59766
4,111.0,698.4404
5,133.00003,816.27435
6,298.00003,907.90796
7,341.0,889.7117
8,572.0,894.85187
9,735.0,874.77313
10,809.00006,874.4498
11,917.00006,943.6814
12,1113.0,942.3273
13,1172.0,948.57306
14,1377.0,922.3074
15,1297.0,935.6525
16,1192.0,961.5017
17,1050.0001,969.8415
18,835.99994,949.9228
19,712.0,933.9189
20,948.0,1046.4854
21,795.0,1056.3107
22,813.0001,1068.6653
23,803.0,979.70447
24,832.99994,656.4904
25,749.0,622.06885
26,565.0,591.33167
27,706.99994,588.7351
28,702.0,632.0884
29,892.0,729.364
30,991.9999,834.4568
31,1313.0,809.96735
32,1151.0,828.576
33,899.00006,826.0082
34,921.99994,809.0501
35,1172.0,846.6325
36,1167.0,861.3954
37,1130.0001,871.79224
38,1101.0,865.6724
39,1010.00006,867.0111
40,1153.0,899.4326
41,1232.0,846.82935
42,1435.0001,799.0734
43,1373.0,821.38806
44,1565.0,907.85284
45,1675.0,886.5307
46,1750.0001,848.2779
47,1604.0001,758.90875
48,1562.0001,1121.2343
49,1457.0,1080.9766
50,1451.0,1027.8302
51,1248.0,1000.6804
52,1185.0001,1009.511
53,880.00006,1049.2441
54,915.0,1166.6909
55,908.0001,1095.3063
56,1270.0,1088.4569
57,1536.0002,1096.6854
58,1437.0001,1058.9712
59,1527.0,1080.1914
60,1658.0,1095.5532
61,1670.0001,1082.7645
62,1522.0001,1067.1438
63,1738.0,1043.7957
64,1744.0001,1096.3964
65,1662.0,1070.9119
66,1517.0002,1052.6317
67,1416.9999,1041.9253
68,1573.0,1092.8835
69,1308.0001,1074.452
70,1363.9999,1065.7936
71,1408.0,980.6049
72,1348.9999,1128.7656
73,1312.0001,1031.6617
74,1291.9999,964.4539
75,1124.9999,945.80023
76,1048.0,911.4296
77,1151.0,956.5595
78,1316.0,1122.4806
79,1547.0001,1108.4492
80,1572.0002,1104.8145
81,1536.0002,1112.4624
82,1489.0,1100.5219
83,1639.0,1143.0134
84,1661.0001,1166.1805
85,1754.0001,1151.7294
86,1859.0,1129.4812
87,1884.0,1091.1846
88,1854.0001,1104.7588
89,1670.9999,1087.8816
90,1613.0001,992.08167
91,1536.0002,975.94336
92,1640.0001,1056.6616
93,1174.0,1002.897
94,1021.0,962.9614
95,711.0,859.6168
96,282.99997,818.81757
97,127.99999,750.86725
98,-162.0,657.5958
99,-223.00002,665.77783
100,-318.0,639.19244
101,-405.0,652.91785
102,-197.00003,862.7343
103,-141.00003,928.9535
104,501.99994,957.09424
105,1168.0,984.68945
106,1420.9999,1000.30707
107,1426.0002,1026.4941
108,1226.0,1061.6743
109,1152.0,1061.4094
110,1110.0,1037.4226
111,1097.0,1031.176
112,1115.0,1036.3341
113,969.0,1019.18494
114,910.0,919.08594
115,851.0001,868.19965
116,1018.99994,939.83887
117,938.00006,915.91534
118,877.0,825.511
119,630.99994,738.34924
120,364.00003,683.09094
121,300.99997,677.6948
122,338.99997,624.5138
123,369.0,621.4645
124,452.0,670.6556
125,749.0,808.69543
126,1325.9999,921.5574
127,1411.0,891.2099
128,1416.9999,909.5793
129,1483.0002,917.773
130,1520.0001,977.3254
131,1508.0,980.59674
132,1609.0,994.2538
133,1519.0002,1015.705
134,1409.0,954.39545
135,1409.0,983.71576
136,1401.0001,1052.6821
137,1222.0,1049.8497
138,953.0,1051.42
139,1003.0,1036.7378
140,1342.9999,1138.039
141,1401.0001,1078.9359
142,1408.0,1112.6166
