,y,yhat
0,-147.0,60.632404
1,-147.0,112.046295
2,-147.0,107.14088
3,-147.0,120.31256
4,-147.0,97.75631
5,-147.0,129.64847
6,-99.00001,20.439575
7,-98.0,-29.273033
8,-58.999992,39.356094
9,0.99997044,60.244526
10,2.9999838,99.61575
11,2.9999838,97.82916
12,117.999985,114.609085
13,71.99997,126.8467
14,70.00003,134.90926
15,70.00003,93.035774
16,70.00003,68.65078
17,4.0000267,3.5933902
18,2.0000134,-86.19074
19,-93.0,-137.38542
20,-98.0,-158.34529
21,-2.0000134,-161.78204
22,-139.00002,-172.86559
23,-147.0,-76.25433
24,-196.0,35.161694
25,-197.0,90.38457
26,-197.0,90.8931
27,-197.0,89.844894
28,-197.0,73.99615
29,-197.0,92.122925
30,-101.99999,27.36905
31,-98.0,-23.020575
32,-98.0,-3.4132102
33,-98.0,-1.7841303
34,-98.0,37.7491
35,-98.0,28.091652
36,-98.0,22.280483
37,-98.0,57.47252
38,-98.0,83.0612
39,-98.0,60.482136
40,-98.0,51.31511
41,-98.0,-8.876475
42,-98.0,-74.104706
43,-98.0,-83.041504
44,-98.0,-62.25837
45,-98.0,-30.789537
46,-146.0,-3.8922663
47,-147.0,58.51196
48,-147.0,-11.737957
49,-147.0,50.35678
50,-147.0,51.429607
51,-147.0,71.08618
52,-147.0,58.139866
53,-4.999997,75.489876
54,-94.00001,12.704433
55,-98.0,-16.405186
56,-98.0,24.34944
57,-98.0,35.443623
58,-98.0,70.22844
59,-98.0,63.852978
60,-98.0,70.87203
61,-0.99997044,89.89458
62,68.000015,102.103516
63,70.00003,78.8022
64,70.00003,49.577545
65,4.0000267,3.5560217
66,-93.0,-65.23293
67,-98.0,-119.658905
68,-98.0,-120.24652
69,-98.0,-121.67579
70,-146.0,-142.11063
71,-147.0,-75.13545
72,-5.9999676,-8.471505
73,-183.99998,51.45336
74,-197.0,50.506763
75,-96.99999,77.192024
76,-2.0000134,96.74236
77,2.0000134,108.5687
78,132.00002,56.50043
79,9.999994,49.11196
80,-94.00001,57.943607
81,-98.0,41.563442
82,-0.99997044,85.75079
83,127.000015,79.14163
84,186.99997,57.954327
85,188.99998,94.02336
86,188.99998,120.69805
87,188.99998,99.34701
88,188.99998,113.425674
89,188.99998,50.48243
90,198.99998,-48.399498
91,-69.99999,-130.43538
92,-98.0,-137.5048
93,-98.0,-116.304825
94,-193.00002,-140.79227
95,-197.0,-55.058556
96,-10.999965,31.077515
97,2.0000134,132.67387
98,2.0000134,139.64969
99,2.0000134,156.80453
100,2.0000134,146.70097
101,61.000008,194.28024
102,100.000015,153.47728
103,100.999985,178.30049
104,193.99998,211.91609
105,198.00002,194.15402
106,198.00002,260.58783
107,174.99997,245.20422
108,127.000015,244.68976
109,71.99997,279.53134
110,70.00003,295.94308
111,70.00003,267.83652
112,70.00003,271.61575
113,70.00003,191.40338
114,70.00003,9.653756
115,70.00003,-176.64671
116,100.000015,-206.93602
117,147.0,-204.50728
118,9.999994,-247.941
119,95.999985,-137.9138
120,5.9999676,138.13243
121,2.0000134,207.07289
122,2.0000134,191.13383
123,2.0000134,179.43256
124,2.0000134,253.70738
125,68.000015,215.37291
126,-93.0,37.58029
127,-193.00002,-167.43791
128,-10.999965,-153.07478
129,2.0000134,-64.57262
130,2.0000134,12.563143
131,2.0000134,60.624657
132,2.0000134,84.153656
133,-89.000015,153.45006
134,60.00004,216.67247
135,70.00003,160.41827
136,4.999997,205.90831
137,-56.00001,85.40296
138,-96.99999,-167.56729
139,-98.0,-154.99216
140,-98.0,-141.3984
141,-98.0,10.378097
142,-193.00002,85.94981
143,-197.0,160.42595
144,-197.0,-365.8435
145,-197.0,-316.43466
146,-197.0,-179.66365
147,-197.0,-23.91818
148,-197.0,60.8157
149,-197.0,100.23045
150,-197.0,-384.10724
151,-197.0,-577.16724
152,-101.99999,-475.11075
153,-98.0,-406.76358
154,-98.0,-309.01492
155,-98.0,-101.73678
156,-98.0,246.08333
157,-98.0,409.1444
158,-98.0,383.5041
159,-98.0,360.37085
160,-98.0,362.75696
161,-98.0,238.21378
162,-98.0,-262.74478
163,-98.0,-436.74738
164,-98.0,-475.92075
165,-98.0,-282.80334
166,-192.00002,-167.71376
167,-197.0,-17.958696
168,-197.0,-122.60964
169,-10.999965,-26.486797
170,56.99998,35.72497
171,70.00003,102.34771
172,100.000015,147.51035
173,100.999985,172.59433
174,5.9999676,-108.19357
175,-183.00002,-263.10568
176,-10.999965,-218.99187
177,2.0000134,-88.598335
178,2.0000134,15.55965
179,2.0000134,91.15613
180,2.0000134,159.18881
181,124.00003,271.22958
182,173.00003,330.46777
183,149.99998,301.9537
184,10.999965,339.78354
185,58.999992,299.7835
186,61.000008,-0.13021052
187,61.000008,-100.18946
188,61.000008,-192.39386
189,61.000008,-64.499176
190,-175.0,-31.917727
191,-197.0,85.07244
192,-197.0,-105.43355
193,-197.0,-142.68933
194,-197.0,-26.83068
