,ds,y,yhat
0,2019-05-01 00:00:00,-1851.0,-912.871519468905
1,2019-05-01 01:00:00,-1872.0,-1090.1467778139079
2,2019-05-01 02:00:00,-2019.0,-1444.089150930994
3,2019-05-01 03:00:00,-2769.0,-1809.3434976807052
4,2019-05-01 04:00:00,-3009.0,-2017.6007753737458
5,2019-05-01 05:00:00,-2597.0,-2010.3348974598227
6,2019-05-01 06:00:00,-2767.0,-1855.3653694631125
7,2019-05-01 07:00:00,-2553.0,-1663.4728604554984
8,2019-05-01 08:00:00,-1986.0,-1492.088010025061
9,2019-05-01 09:00:00,-1820.0,-1326.2603415630435
10,2019-05-01 10:00:00,-986.0,-1143.1417589814437
11,2019-05-01 11:00:00,-708.0,-981.0425461674166
12,2019-05-01 12:00:00,-298.0,-932.600596305453
13,2019-05-01 13:00:00,-286.0,-1063.1826102548582
14,2019-05-01 14:00:00,-496.0,-1336.178613067584
15,2019-05-01 15:00:00,-970.0,-1624.0782924183181
16,2019-05-01 16:00:00,-1267.0,-1800.5580000886762
17,2019-05-01 17:00:00,-2023.0,-1828.6183625298052
18,2019-05-01 18:00:00,-2660.0,-1764.096594548907
19,2019-05-01 19:00:00,-2455.0,-1678.4587260682838
20,2019-05-01 20:00:00,-2688.0,-1584.33464921744
21,2019-05-01 21:00:00,-2324.0,-1441.2897001088782
22,2019-05-01 22:00:00,-1646.0,-1233.639750781266
23,2019-05-01 23:00:00,-915.0,-1033.6703516168768
24,2019-05-02 00:00:00,-597.0,-973.334731670437
25,2019-05-02 01:00:00,-106.0,-1138.2368451484326
26,2019-05-02 02:00:00,-335.0,-1479.9619657941003
27,2019-05-02 03:00:00,-852.0,-1833.315519487069
28,2019-05-02 04:00:00,-1136.0,-2030.1425983569652
29,2019-05-02 05:00:00,-914.0,-2012.06273262704
30,2019-05-02 06:00:00,-1742.0,-1847.030561890114
31,2019-05-02 07:00:00,-1156.0,-1645.9495882935826
32,2019-05-02 08:00:00,-270.0,-1466.3593355741707
33,2019-05-02 09:00:00,164.0,-1293.4028061001957
34,2019-05-02 10:00:00,262.0,-1104.3087320185207
35,2019-05-02 11:00:00,719.0,-937.44655602862
36,2019-05-02 12:00:00,929.0,-885.4948823512292
37,2019-05-02 13:00:00,906.0,-1013.8421468800958
38,2019-05-02 14:00:00,639.0,-1285.8808628611944
39,2019-05-02 15:00:00,357.0,-1574.083949205925
40,2019-05-02 16:00:00,-367.0,-1752.0919828636215
41,2019-05-02 17:00:00,-1386.0,-1782.8513179953732
42,2019-05-02 18:00:00,-1401.0,-1722.1271594663424
43,2019-05-02 19:00:00,-1604.0,-1641.2967907792154
44,2019-05-02 20:00:00,-1940.0,-1552.8858507367727
45,2019-05-02 21:00:00,-1817.0,-1416.3413572466711
46,2019-05-02 22:00:00,-947.0,-1215.8484350239673
47,2019-05-02 23:00:00,-116.0,-1023.5512662763603
48,2019-05-03 00:00:00,-228.0,-971.2530482834076
49,2019-05-03 01:00:00,-697.0,-1144.401120647086
50,2019-05-03 02:00:00,-994.0,-1494.4197368200566
51,2019-05-03 03:00:00,-1464.0,-1855.951141997324
52,2019-05-03 04:00:00,-1615.0,-2060.677370883847
53,2019-05-03 05:00:00,-1310.0,-2050.0573123872655
54,2019-05-03 06:00:00,-1336.0,-1891.88965213434
55,2019-05-03 07:00:00,-741.0,-1696.9288459896752
56,2019-05-03 08:00:00,-624.0,-1522.574418948399
57,2019-05-03 09:00:00,-971.0,-1353.8404534242418
58,2019-05-03 10:00:00,-722.0,-1167.8397360689298
59,2019-05-03 11:00:00,-447.0,-1002.8404733776523
60,2019-05-03 12:00:00,42.0,-951.4362932209046
61,2019-05-03 13:00:00,-180.0,-1078.9482606856113
62,2019-05-03 14:00:00,-246.0,-1348.720245837279
63,2019-05-03 15:00:00,-636.0,-1633.196135044036
64,2019-05-03 16:00:00,-1173.0,-1806.007715034877
65,2019-05-03 17:00:00,-1513.0,-1830.1131624756943
66,2019-05-03 18:00:00,-1595.0,-1761.3102211761652
67,2019-05-03 19:00:00,-1693.0,-1671.0292639798422
68,2019-05-03 20:00:00,-2101.0,-1571.8691345074144
69,2019-05-03 21:00:00,-2255.0,-1423.36947152723
70,2019-05-03 22:00:00,-1479.0,-1209.82648007132
71,2019-05-03 23:00:00,-783.0,-1003.512679493229
72,2019-05-04 00:00:00,-815.0,-936.3754263239545
73,2019-05-04 01:00:00,-796.0,-1094.0203918293068
74,2019-05-04 02:00:00,-1415.0,-1428.0424887039803
75,2019-05-04 03:00:00,-2080.0,-1773.2649313779048
76,2019-05-04 04:00:00,-2639.0,-1961.558868132388
77,2019-05-04 05:00:00,-2515.0,-1934.5781586560665
78,2019-05-04 06:00:00,-2296.0,-1760.3199362272703
79,2019-05-04 07:00:00,-1970.0,-1549.7381371894985
80,2019-05-04 08:00:00,-1693.0,-1360.430322540315
81,2019-05-04 09:00:00,-1758.0,-1177.60468659139
82,2019-05-04 10:00:00,-2540.0,-978.5617529719392
83,2019-05-04 11:00:00,-2717.0,-801.7486989945967
84,2019-05-04 12:00:00,-2501.0,-739.9270557664448
85,2019-05-04 13:00:00,-2333.0,-858.5725416330433
86,2019-05-04 14:00:00,-2972.0,-1121.1683942673042
87,2019-05-04 15:00:00,-3401.0,-1400.2807192569985
88,2019-05-04 16:00:00,-3700.0,-1569.6447079758536
89,2019-05-04 17:00:00,-3760.0,-1592.3016797140065
90,2019-05-04 18:00:00,-3522.0,-1524.1110485002027
91,2019-05-04 19:00:00,-3548.0,-1436.542428143425
92,2019-05-04 20:00:00,-3300.0,-1342.210783511582
93,2019-05-04 21:00:00,-2323.0,-1200.648340377853
94,2019-05-04 22:00:00,-1450.0,-996.1202244910555
95,2019-05-04 23:00:00,-1140.0,-800.8443626694559
96,2019-05-05 00:00:00,-1107.0,-746.6904432339651
97,2019-05-05 01:00:00,-1482.0,-919.1641112655483
98,2019-05-05 02:00:00,-1708.0,-1269.7388856935443
99,2019-05-05 03:00:00,-1753.0,-1633.0964712662326
100,2019-05-05 04:00:00,-2014.0,-1840.9478896889532
101,2019-05-05 05:00:00,-1903.0,-1834.7699857650646
102,2019-05-05 06:00:00,-1959.0,-1682.3679276088612
103,2019-05-05 07:00:00,-1904.0,-1494.490860775674
104,2019-05-05 08:00:00,-1600.0,-1328.5210156922687
105,2019-05-05 09:00:00,-1352.0,-1169.443136352178
106,2019-05-05 10:00:00,-1197.0,-994.3287011893726
107,2019-05-05 11:00:00,-1108.0,-841.3928472316147
108,2019-05-05 12:00:00,-904.0,-803.1647134150307
109,2019-05-05 13:00:00,-1140.0,-944.8899287968803
110,2019-05-05 14:00:00,-1369.0,-1229.8265790308062
111,2019-05-05 15:00:00,-1868.0,-1530.323137058599
112,2019-05-05 16:00:00,-2406.0,-1719.907179522845
113,2019-05-05 17:00:00,-2399.0,-1761.424813711791
114,2019-05-05 18:00:00,-2485.0,-1710.5548865193941
115,2019-05-05 19:00:00,-2249.0,-1638.6031617950853
116,2019-05-05 20:00:00,-1738.0,-1558.039348965055
